j1,j2,U
20,6,2.057596
20,7,1.118589
20,8,0.842404
20,9,1.896714
20,10,0.374928
20,11,1.896714
20,12,0.842404
20,13,1.118589
20,14,2.057596
20,15,0.588566
20,16,1.807527
20,17,0.587078
20,18,0.878433
20,19,1.707734
20,21,2.011872
20,22,0.936199
20,23,0.856235
20,24,1.203684
20,25,0.563687
20,26,1.888528
20,27,1.054807
20,28,1.022074
20,29,1.819611
20,30,0.576743
21,1,2.011872
21,2,0.000000
21,3,1.584629
21,4,0.000000
21,5,1.509559
21,6,2.171721
21,7,0.000000
21,8,1.610892
21,9,0.000000
21,10,2.228134
21,11,2.228134
21,12,0.000000
21,13,1.610892
21,14,0.000000
21,15,2.171721
21,16,1.509559
21,17,0.000000
21,18,1.584629
21,19,0.000000
21,20,2.011872
21,22,0.000000
21,23,1.158439
21,24,0.000000
21,25,2.196396
21,26,1.665530
21,27,0.000000
21,28,0.962306
21,29,0.000000
21,30,1.570357
22,1,0.000000
22,2,0.936199
22,3,1.433531
22,4,0.829560
22,5,0.970227
22,6,0.000000
22,7,0.988125
22,8,1.698768
22,9,1.304142
22,10,0.943165
22,11,0.000000
22,12,0.943165
22,13,1.304142
22,14,1.698768
22,15,0.988125
22,16,0.000000
22,17,0.970227
22,18,0.829560
22,19,1.433531
22,20,0.936199
22,21,0.000000
22,23,1.437506
22,24,1.403352
22,25,0.630904
22,26,0.000000
22,27,0.936975
22,28,1.732548
22,29,1.485015
22,30,0.952835
23,1,1.437506
23,2,1.158439
23,3,0.856235
23,4,0.000000
23,5,1.011606
23,6,1.251400
23,7,1.214240
23,8,0.853519
23,9,0.000000
23,10,0.914407
23,11,1.584632
23,12,1.584632
23,13,0.914407
23,14,0.000000
23,15,0.853519
23,16,1.214240
23,17,1.251400
23,18,1.011606
23,19,0.000000
23,20,0.856235
23,21,1.158439
23,22,1.437506
23,24,0.000000
23,25,0.973715
23,26,1.594879
23,27,1.388250
23,28,0.774676
23,29,0.000000
23,30,0.831700
24,1,0.000000
24,2,1.403352
24,3,0.000000
24,4,1.203684
24,5,1.919907
24,6,0.000000
24,7,1.663246
24,8,0.000000
24,9,1.814923
24,10,2.023004
24,11,0.000000
24,12,1.413590
24,13,0.000000
24,14,2.023004
24,15,1.814923
24,16,0.000000
24,17,1.663246
24,18,0.000000
24,19,1.919907
24,20,1.203684
24,21,0.000000
24,22,1.403352
24,23,0.000000
24,25,1.126615
24,26,0.000000
24,27,0.836585
24,28,0.000000
24,29,1.767875
24,30,1.757445
25,1,1.126615
25,2,0.973715
25,3,0.630904
25,4,2.196396
25,5,0.563687
25,6,1.623776
25,7,1.087756
25,8,0.596939
25,9,1.957649
